"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Quantrill, Cal",615698,"R","96.1","96.4","36.4","97.3",,"30.2","24.3",,
"Shreve, Chasen",592741,"L","96.1",,,,"92.7",,"41.8",,
"Peralta, Wily",503449,"R","96","97.3",,,"92.6",,"15.6",,
"Kranick, Max",668820,"R","95.9",,,"99.4",,"54.8","55.3",,
"López, Reynaldo",625643,"R","95.9",,,"92.3",,"73.2","43.1",,
"Abbott, Cory",676265,"R","95.9",,,"95.2",,"66.5","58.1",,
"Dayton, Grant",594795,"L","95.8",,,,,"69.9",,,
"Mejía, Humberto",650668,"R","95.8","96.6",,"89.5",,"65.1","34.3",,
"Farmer, Buck",571656,"R","95.8","94.1",,"89.5",,,"13",,
"Lambert, Jimmy",669424,"R","95.8",,,"99.2",,"93","39.4",,
"Jackson, Luke",592426,"R","95.7",,,,,"71.6","40.9",,
"Foltynewicz, Mike",592314,"R","95.7","94.9",,"98.1",,"40.9","24.8",,
"Alcala, Jorge",660896,"R","95.7","93.1",,"97.1",,,"29.9",,
"Lambert, Peter",663567,"R","95.7",,,"99.5",,"96.8",,,
"Santillan, Tony",663574,"R","95.7",,,"96.8",,,"43.2",,
"Chafin, Andrew",605177,"L","95.7","94.4",,,,,"27.4",,
"Gray, Jon",592351,"R","95.6","94.2",,"97.9",,"80.2","31.1",,
"Feliz, Michael",593140,"R","95.6",,,"98",,,"40.7",,
"Peralta, Wandy",593974,"L","95.6","95.6",,"88.1",,,"28.6",,
"Cole, A.J.",595918,"R","95.5",,"69.7",,,"43.3","26.4",,
"Baldonado, Alberto",593604,"L","95.5",,,"98.7",,,"40.9",,
"Falter, Bailey",663559,"L","95.5","95.1",,"95.2",,"54","57.9",,
"Weaver, Luke",596133,"R","95.4",,,"85.8",,"51.8","54.3",,
"Solomon, Peter",656981,"R","95.4",,"36.3","88.1",,"92.1","33.1",,
"Newsome, Ljay",664714,"R","95.4",,,"79.5",,"37.9",,,
"Crochet, Garrett",676979,"L","95.4",,,"98.9",,,"25.7","34.4",
"Kremer, Dean",665152,"R","95.3","96.4","51.8","92.8","88.4","90.5",,,
"Machado, Andrés",600921,"R","95.3","92",,"92.4",,,"37.3",,
"Workman, Brandon",519443,"R","95.3",,"45.4",,,"83.9",,,
"Dunn, Justin",643290,"R","95.3",,,"87.9",,"56.1","39.6",,
"Fiers, Mike",571666,"R","95.3","93.1",,"87",,"88.6","57.4",,
"Roark, Tanner",543699,"R","95.2","94.1",,"99.5",,"85.5","64.5",,
"Knight, Dusten",643400,"R","95.2",,,"78.3",,"80.2",,,
"Baumann, Mike",657508,"R","95.2",,,,,"87.7","46.2",,
"Cody, Kyle",621129,"R","95.2","94.7",,"99.1",,,"51",,
"Karinchak, James",675916,"R","95.1",,,,,"53.4",,,
"Detwiler, Ross",446321,"L","95.1","94.4","23.3","94.7",,"69.6",,,
"Devenski, Chris",606965,"R","95.1",,,"87.8",,,"33.9",,
"Snead, Kirby",669912,"L","95","96.8",,"97.5",,,"42.8",,
